index,ds,227645,230054,247467,265812,269255,283639
110,2010-04-22 00:00:00,1024,0,2240,576,1024,0
111,2010-04-23 00:00:00,256,0,1792,564,1024,761
112,2010-04-24 00:00:00,0,0,0,704,0,0
113,2010-04-25 00:00:00,0,0,0,0,0,0
114,2010-04-26 00:00:00,1008,0,1024,1440,1024,601
115,2010-04-27 00:00:00,1024,0,2304,1504,1024,633
116,2010-04-28 00:00:00,1024,0,2496,960,692,425
117,2010-04-29 00:00:00,1248,0,1792,1184,1024,426
118,2010-04-30 00:00:00,960,0,2560,1344,1024,1301
119,2010-05-01 00:00:00,512,0,768,1024,0,518
120,2010-05-02 00:00:00,0,0,0,0,0,0
121,2010-05-03 00:00:00,992,0,2560,1280,0,425
122,2010-05-04 00:00:00,1536,0,2816,1920,0,729
123,2010-05-05 00:00:00,0,0,1024,0,0,633
124,2010-05-06 00:00:00,1008,0,1776,1248,768,209
125,2010-05-07 00:00:00,1024,0,2816,448,768,226
126,2010-05-08 00:00:00,512,0,256,1248,512,256
127,2010-05-09 00:00:00,0,0,0,0,0,0
128,2010-05-10 00:00:00,992,0,2048,608,1024,560
129,2010-05-11 00:00:00,1792,0,2544,1536,768,425
130,2010-05-12 00:00:00,768,0,2560,832,1024,425
131,2010-05-13 00:00:00,1280,0,2043,768,1024,493
132,2010-05-14 00:00:00,512,0,2048,1696,768,665
133,2010-05-15 00:00:00,736,0,256,736,896,1065
134,2010-05-16 00:00:00,0,0,0,0,0,0
135,2010-05-17 00:00:00,768,0,1280,1120,0,643
136,2010-05-18 00:00:00,1248,0,2048,1280,768,732
137,2010-05-19 00:00:00,1024,0,2816,1024,960,747
138,2010-05-20 00:00:00,1008,0,2816,1280,1200,1270
139,2010-05-21 00:00:00,256,0,768,544,656,352
140,2010-05-22 00:00:00,256,0,256,896,704,784
141,2010-05-23 00:00:00,0,0,0,0,0,0
142,2010-05-24 00:00:00,1536,0,2816,0,0,720
143,2010-05-25 00:00:00,712,0,2272,1216,768,681
