index,ds,1041,1692,1815,1853,1878
109,2010-04-21 00:00:00,4677,7197,37788,4806,3569
110,2010-04-22 00:00:00,8760,7490,37609,3960,2889
111,2010-04-23 00:00:00,7404,7778,45314,4641,3053
112,2010-04-24 00:00:00,2000,3384,22315,4472,1756
113,2010-04-25 00:00:00,0,0,356,0,0
114,2010-04-26 00:00:00,5001,5906,34189,3437,3068
115,2010-04-27 00:00:00,4949,7683,41260,5290,4795
116,2010-04-28 00:00:00,7752,8335,37160,4848,2576
117,2010-04-29 00:00:00,3969,6900,39327,5425,3198
118,2010-04-30 00:00:00,5881,7530,38863,5576,4446
119,2010-05-01 00:00:00,1748,3919,103608,5201,1792
120,2010-05-02 00:00:00,0,0,443,0,0
121,2010-05-03 00:00:00,4370,6039,35529,4444,4361
122,2010-05-04 00:00:00,6567,10196,50064,6306,6563
123,2010-05-05 00:00:00,1008,936,8047,1740,768
124,2010-05-06 00:00:00,4706,9167,43807,4547,4521
125,2010-05-07 00:00:00,4520,8402,45238,4711,3920
126,2010-05-08 00:00:00,3612,4615,25632,5952,3691
127,2010-05-09 00:00:00,0,0,434,0,0
128,2010-05-10 00:00:00,4849,6542,38294,5182,3618
129,2010-05-11 00:00:00,7719,7111,46114,4651,4847
130,2010-05-12 00:00:00,9303,8475,42549,4587,5060
131,2010-05-13 00:00:00,6720,7902,40259,5804,5312
132,2010-05-14 00:00:00,8726,7604,44475,4884,4762
133,2010-05-15 00:00:00,4602,4720,25097,6317,3564
134,2010-05-16 00:00:00,0,0,309,136,0
135,2010-05-17 00:00:00,4568,5909,33964,4522,3762
136,2010-05-18 00:00:00,7002,7474,44044,5557,4237
137,2010-05-19 00:00:00,5694,8748,40579,5129,6996
138,2010-05-20 00:00:00,9785,8578,45209,7331,6121
139,2010-05-21 00:00:00,888,1462,12746,2398,1472
140,2010-05-22 00:00:00,1552,4431,23309,5084,2737
141,2010-05-23 00:00:00,0,0,462,0,0
142,2010-05-24 00:00:00,4764,7512,37342,4171,3250
143,2010-05-25 00:00:00,5268,9077,46543,4409,4367
144,2010-05-26 00:00:00,5188,7984,47007,5154,2954
145,2010-05-27 00:00:00,7732,8586,39713,4897,3167
146,2010-05-28 00:00:00,8072,6902,39095,5468,4312
147,2010-05-29 00:00:00,7070,2624,23433,6032,2305
148,2010-05-30 00:00:00,90,0,301,0,0
149,2010-05-31 00:00:00,3058,6239,34849,4698,4187
150,2010-06-01 00:00:00,10544,10296,48835,5466,5148
151,2010-06-02 00:00:00,2602,2669,19426,2708,4464
152,2010-06-03 00:00:00,4652,8083,44512,5850,3278
153,2010-06-04 00:00:00,8702,7390,43045,4872,4843
154,2010-06-05 00:00:00,4862,4646,30850,6019,2250
155,2010-06-06 00:00:00,0,0,286,530,0
156,2010-06-07 00:00:00,4183,9256,40680,4400,3960
157,2010-06-08 00:00:00,4804,8243,47486,4914,6353
158,2010-06-09 00:00:00,7270,7483,41455,5443,3486
159,2010-06-10 00:00:00,8594,8911,41124,4322,5064
160,2010-06-11 00:00:00,9366,6200,39776,6271,4958
161,2010-06-12 00:00:00,5561,3544,31156,5596,2272
162,2010-06-13 00:00:00,0,0,1235,0,0
163,2010-06-14 00:00:00,5203,6724,39571,4769,3045
164,2010-06-15 00:00:00,4628,7789,47054,5419,5592
165,2010-06-16 00:00:00,6440,8908,44577,5295,3930
166,2010-06-17 00:00:00,5892,9503,43483,5143,6513
167,2010-06-18 00:00:00,7358,8951,39586,5311,3300
168,2010-06-19 00:00:00,3485,3968,28840,5123,1979
169,2010-06-20 00:00:00,0,0,318,0,0
170,2010-06-21 00:00:00,4205,7842,40797,5063,2929
171,2010-06-22 00:00:00,5603,7958,48657,4602,4368
172,2010-06-23 00:00:00,8389,8637,45090,4706,2874
173,2010-06-24 00:00:00,5639,8229,43855,4340,3134
174,2010-06-25 00:00:00,5961,7755,40213,5806,2762
175,2010-06-26 00:00:00,4017,3952,31137,5478,2449
176,2010-06-27 00:00:00,0,0,297,0,0
177,2010-06-28 00:00:00,4384,6157,41807,4920,3859
178,2010-06-29 00:00:00,4950,8247,44955,5231,5658
179,2010-06-30 00:00:00,3403,6458,47066,5836,4486
180,2010-07-01 00:00:00,5698,9534,44580,5328,4003
181,2010-07-02 00:00:00,2740,7910,44920,6644,5629
182,2010-07-03 00:00:00,2742,4176,26213,5111,2706
183,2010-07-04 00:00:00,0,0,299,746,0
184,2010-07-05 00:00:00,3451,4844,39234,5927,2700
185,2010-07-06 00:00:00,6011,8852,46278,5243,4207
186,2010-07-07 00:00:00,5312,8644,45601,5608,3645
187,2010-07-08 00:00:00,5310,8488,41890,4814,4667
188,2010-07-09 00:00:00,5268,5880,45647,5526,4196
189,2010-07-10 00:00:00,5228,3962,28217,4931,2495
190,2010-07-11 00:00:00,0,0,355,766,0
191,2010-07-12 00:00:00,3466,7879,38971,5587,2358
192,2010-07-13 00:00:00,4194,7976,50904,4626,4824
193,2010-07-14 00:00:00,2585,8307,42631,5326,3904
194,2010-07-15 00:00:00,5545,6484,39004,4220,6251
195,2010-07-16 00:00:00,4041,8280,42540,5763,4134
196,2010-07-17 00:00:00,4452,3124,23644,5452,2912
197,2010-07-18 00:00:00,0,0,523,560,0
198,2010-07-19 00:00:00,4382,6736,41456,5285,4050
199,2010-07-20 00:00:00,6859,8541,48762,5801,4564
200,2010-07-21 00:00:00,6589,10613,50647,4177,3255
201,2010-07-22 00:00:00,6062,7031,42646,5241,4486
202,2010-07-23 00:00:00,9022,7492,39160,5741,4546
203,2010-07-24 00:00:00,3494,3912,26758,4967,2442
204,2010-07-25 00:00:00,0,0,318,366,0
205,2010-07-26 00:00:00,4642,7496,47305,4059,2809
206,2010-07-27 00:00:00,4483,8797,52713,4732,4584
207,2010-07-28 00:00:00,7094,7071,43294,4935,2802
208,2010-07-29 00:00:00,4433,7424,41671,5390,2932
209,2010-07-30 00:00:00,6348,6181,38915,5054,4345
210,2010-07-31 00:00:00,4902,3337,31640,5922,1903
211,2010-08-01 00:00:00,0,0,993,0,0
212,2010-08-02 00:00:00,3872,6103,43455,3650,4064
213,2010-08-03 00:00:00,3283,7876,51327,4822,3656
214,2010-08-04 00:00:00,4537,8056,50377,4376,4570
215,2010-08-05 00:00:00,4700,8789,46780,5362,3995
216,2010-08-06 00:00:00,4082,5958,44930,6188,1891
217,2010-08-07 00:00:00,5644,5097,28423,5524,1730
218,2010-08-08 00:00:00,0,0,364,634,0
219,2010-08-09 00:00:00,3154,5899,45205,3917,2914
220,2010-08-10 00:00:00,4379,7260,45466,3163,3055
221,2010-08-11 00:00:00,6288,8157,46738,4042,4197
222,2010-08-12 00:00:00,4204,7398,43344,3932,4278
223,2010-08-13 00:00:00,3426,9171,45743,5712,4302
224,2010-08-14 00:00:00,4486,3183,26788,6620,2488
225,2010-08-15 00:00:00,0,0,465,0,0
226,2010-08-16 00:00:00,3206,6827,41962,5401,3431
227,2010-08-17 00:00:00,5618,8170,44909,6192,3221
228,2010-08-18 00:00:00,5437,8259,45507,5083,4670
229,2010-08-19 00:00:00,4490,8493,43997,4425,3841
230,2010-08-20 00:00:00,4137,7880,46950,5172,5024
231,2010-08-21 00:00:00,2216,4040,29956,5278,2250
232,2010-08-22 00:00:00,0,0,291,0,0
233,2010-08-23 00:00:00,3812,6106,43897,5273,3126
234,2010-08-24 00:00:00,3774,8485,49710,5218,4375
235,2010-08-25 00:00:00,5676,9147,48148,5019,4918
236,2010-08-26 00:00:00,3409,9197,44083,5328,5733
237,2010-08-27 00:00:00,5458,8448,42735,5237,2868
238,2010-08-28 00:00:00,4676,4757,25391,5719,2682
239,2010-08-29 00:00:00,0,0,325,0,0
240,2010-08-30 00:00:00,3534,6637,42239,5118,2217
241,2010-08-31 00:00:00,3525,8407,54381,5144,5952
242,2010-09-01 00:00:00,5504,9421,46628,5246,5549
243,2010-09-02 00:00:00,4778,9480,44356,5420,6401
244,2010-09-03 00:00:00,3430,6604,42341,5783,5655
